ticker,as_of,archetype,float_label,under20_label,conf_label,cik,float_det,os,os_src,g_exo,strat,det_conf,cls,relerr,os_relerr,gate_match,confident
CFSB,2025-05-20,US-single-class,2.64,True,high,1879103,6.222,6.549,xbrl,0.326,0.0,1col-noderiv?,ok,1.3569,0.547,True,True
TDOC,2025-06-23,US-single-class,174.87,False,high,1477449,127.23,175.435,xbrl,48.204,0.0,nogroup,ok,0.2724,0.2716,True,False
URGN,2025-06-12,US-single-class,44.94,False,high,1668243,43.94,46.107,xbrl,2.167,0.0,1col-noderiv?,ok,0.0222,0.0217,True,True
HHS,2025-06-23,US-single-class,3.91,True,med,45919,6.69,7.364,xbrl,0.675,0.0,1col-noderiv?,ok,0.7109,0.3775,True,True
FULC,2025-05-02,US-single-class,50.2,False,high,1680581,50.197,53.979,xbrl,3.782,0.0,1col-noderiv?,ok,0.0001,0.0,True,True
VIGL,2025-05-22,US-single-class,37.75,False,high,1827087,37.752,46.672,xbrl,8.92,0.0,1col-noderiv?,ok,0.0,0.0,True,True
UPXI,2025-07-18,US-single-class,49.89,False,med,1775194,36.579,37.253,xbrl,0.675,0.0,multiclass,ok,0.2668,0.3573,True,False
MLNK,2025-08-11,US-single-class,29.15,False,med,1834494,44.853,74.094,xbrl,0.309,28.932,1col-deriv,ok,0.5387,0.2119,True,True
NTRB,2025-07-02,US-single-class,5.08,True,high,1676047,7.534,11.154,xbrl,3.62,0.0,3col,ok,0.4831,0.22,True,True
INMB,2025-06-27,US-single-class,22.69,False,high,1711754,23.21,23.21,xbrl,0.0,0.0,1col-deriv,ok,0.0229,0.0224,True,True
BLDE,2025-08-04,US-single-class,68.23,False,med,1779128,68.224,81.017,xbrl,12.794,0.0,1col-noderiv?,ok,0.0001,0.0001,True,True
MTEX,2025-07-29,US-single-class,1.24,True,high,1056358,1.163,1.901,xbrl,0.738,0.0,3col,ok,0.0623,0.0407,True,True
RILYT,2025-07-01,US-single-class,10.64,True,med,1464790,20.57,30.497,xbrl,9.927,0.0,1col-noderiv?,ok,0.9332,0.3256,False,True
KSS,2025-07-22,US-single-class,110.91,False,high,885639,110.915,112.042,xbrl,1.127,0.0,1col-noderiv?,ok,0.0,0.0,True,True
