ticker,as_of,archetype,os_M_label,cik,xbrl_M,xbrl_n,xbrl_form,regex_M,xbrl_relerr,regex_relerr
MEIP,2025-07-18,US-single-class,6.66,1262104,6.663,1,10-Q,0.226,0.0004,0.9661
IMXI,2025-08-11,US-single-class,29.42,1683695,29.684,1,10-Q,40.164,0.009,0.3652
FLL,2025-06-18,US-single-class,35.65,891482,35.976,1,10-Q,35.649,0.0091,0.0
ALTS,2025-05-23,US-single-class,16.08,862861,17.455,1,10-Q,0.925,0.0855,0.9425
ARTL,2025-06-30,US-single-class,3.28,1621221,3.281,1,10-Q,50.0,0.0003,14.2439
UPXI,2025-07-18,US-single-class,50.37,1775194,37.253,1,10-Q,100.0,0.2604,0.9853
KALA,2025-06-10,US-single-class,6.45,1479419,6.452,1,10-Q,6.091,0.0004,0.0556
NSYS,2025-05-07,US-single-class,2.76,722313,2.761,1,10-K,9.0,0.0003,2.2609
IPWR,2025-08-14,US-single-class,8.5,1507957,8.498,1,10-Q,50.0,0.0002,4.8824
BYON,2025-07-21,US-single-class,57.68,1130713,57.679,1,10-Q,,0.0,
RRGB,2025-06-02,US-single-class,17.74,1171759,17.736,1,10-Q,0.045,0.0002,0.9975
COMM,2025-08-04,US-single-class,221.53,1517228,221.526,1,10-Q,221.526,0.0,0.0
BCRX,2025-05-05,US-single-class,209.21,882796,208.96,1,10-K,,0.0012,
CEAD,2025-06-12,US-single-class,0.8023,1482541,0.802,1,10-Q,25.0,0.0001,30.1604
OCC,2025-07-07,US-single-class,8.23,1000230,8.228,1,10-Q,50.0,0.0002,5.0753
CFSB,2025-05-20,US-single-class,6.548575,1879103,6.549,1,10-Q,90.0,0.0,12.7434
LFMD,2025-08-04,US-single-class,45.45,948320,45.448,1,10-Q,45.448,0.0001,0.0001
APLD,2025-06-06,US-single-class,224.39,1144879,224.718,1,10-Q,400.0,0.0015,0.7826
ANNA,2025-07-29,multi-class,40.58,1845123,4.59,1,10-Q,150.0,0.8869,2.6964
RBOT,2025-07-16,multi-class,5.28,1812173,,,,5.278,,0.0004
BETR,2025-08-13,multi-class,9.35,1835856,,,,15.169,,0.6223
BODI,2025-08-06,multi-class,4.26,1826889,,,,1600.0,,374.5869
LBRT,2025-07-23,multi-class,161.95,1694028,,,,400.0,,1.4699
METCB,2025-07-11,multi-class,10.7,1687187,44.414,1,10-Q,50.0,3.1508,3.6729
VENU,2025-05-27,multi-class,37.5,1770501,37.521,1,10-Q,37.503,0.0006,0.0001
ANGI,2025-05-07,multi-class,47.95,1705110,,,,47.987,,0.0008
GPUS,2025-05-07,multi-class,1.71,896493,1.53,1,10-K,1.53,0.1053,0.1053
PROK,2025-07-10,multi-class,133.36,1850270,,,,500.0,,2.7493
CTNM,2025-06-20,multi-class,19.14,1855175,25.872,1,10-Q,19.142,0.3517,0.0001
RUM,2025-05-09,multi-class,338.63,1830081,,,,700.0,,1.0672
GENK,2025-07-23,multi-class,5.04,1891856,,,,70.0,,12.8889
FBYD,2025-06-18,multi-class,37.23,1937987,,,,500.0,,12.43
YOSH,2025-07-17,multi-class,1.66,1898604,11.94,1,10-K,1.662,6.1928,0.0014
LUNR,2025-05-13,multi-class,117.33,1844452,84.173,1,10-K,101.859,0.2826,0.1319
INFA,2025-05-23,multi-class,257.67,1868778,,,,0.259,,0.999
TASK,2025-05-09,multi-class,19.96,1829864,,,,70.033,,2.5087
FMST,2025-06-04,foreign/ADS,10.34,1935418,5.208,1,20-F,,0.4963,
MFH,2025-06-11,foreign/ADS,63.69,1527762,62.3,1,20-F,,0.0218,
NNNN,2025-06-24,foreign/ADS,43.89,1982708,,,,43.891,,0.0
SOS,2025-05-12,foreign/ADS,4.45,1346610,,,,,,
PLUR,2025-06-23,foreign/ADS,7.88,1158780,7.833,1,10-Q,,0.006,
MCTR,2025-06-03,foreign/ADS,15.3,1969928,,,,,,
DIST,2025-06-06,foreign/ADS,3.2,1818605,3.2,1,10-Q,220.0,0.0001,67.75
SUPX,2025-07-30,foreign/ADS,22.17,1897087,12.977,1,20-F,,0.4146,
WBUY,2025-06-30,foreign/ADS,1.05,1946703,,,,,,
EHLD,2025-06-23,foreign/ADS,2.82,2032779,,,,,,
ARBKL,2025-07-11,foreign/ADS,71.95,1841675,637.975,1,20-F,,7.8669,
CLGN,2025-05-29,foreign/ADS,11.45,1631487,11.455,1,20-F,,0.0004,
PSFE,2025-08-12,foreign/ADS,59.89,1833835,59.888,1,20-F,,0.0,
HOLO,2025-07-11,foreign/ADS,81.99,1841209,54.504,1,20-F,,0.3352,
WFF,2025-06-23,foreign/ADS,25.19,1980210,22.95,1,20-F,,0.0889,
PBM,2025-05-05,foreign/ADS,0.58,1985062,13.391,1,20-F,,22.0873,
LICN,2025-05-12,foreign/ADS,0.717,1876766,,,,0.717,,0.0002
MTEN,2025-05-06,foreign/ADS,6.84,1948099,6.84,1,20-F,,0.0001,
LIMN,2025-06-04,SPAC,26.01,1971387,26.015,1,10-Q,26.015,0.0002,0.0002
FOXX,2025-07-17,SPAC,6.78,2013807,6.781,1,10-Q,6.781,0.0001,0.0001
BUJA,2025-05-05,SPAC,4.94,1956055,4.941,1,10-K,490.0,0.0003,98.1903
MTR,2025-06-17,SPAC,1.86,313364,,,,,,
FGF,2025-08-01,SPAC,1.27,1591890,1.272,1,10-Q,4.0,0.0018,2.1496
FOXX,2025-08-11,SPAC,6.78,2013807,6.781,1,10-Q,6.781,0.0001,0.0001
KOSS,2025-07-23,SPAC,9.38,56701,9.376,1,10-Q,20.0,0.0004,1.1322
BZAI,2025-07-18,SPAC,101.68,1871638,101.684,1,10-Q,48.376,0.0,0.5242
NHTC,2025-05-12,SPAC,11.51,912061,11.513,1,10-Q,5.0,0.0003,0.5656
INV,2025-08-04,SPAC,53.49,2001557,53.487,1,10-Q,250.0,0.0001,3.6738
FLD,2025-06-17,SPAC,46.38,1889123,46.382,1,10-Q,600.0,0.0001,11.9366
MTR,2025-06-13,SPAC,1.86,313364,,,,,,
LIMN,2025-06-05,SPAC,26.01,1971387,26.015,1,10-Q,26.015,0.0002,0.0002
TGEN,2025-07-02,SPAC,24.99,1537435,25.259,1,10-Q,100.0,0.0108,3.0016
LIMN,2025-07-24,SPAC,26.36,1971387,26.015,1,10-Q,26.015,0.0131,0.0131
DIST,2025-06-12,SPAC,3.2,1818605,3.2,1,10-Q,220.0,0.0001,67.75
AISP,2025-05-19,SPAC,31.84,1842566,31.844,1,10-Q,200.0,0.0001,5.2814
MARPS,2025-06-13,SPAC,2.0,62362,,,,,,
TIL,2025-05-22,split/reverse,6.56,1789769,6.56,1,10-Q,300.0,0.0,44.7317
CMCT,2025-07-25,split/reverse,0.75,908311,0.755,1,10-Q,8.373,0.0061,10.1636
WHLR,2025-06-04,split/reverse,0.56,1527541,3.071,1,10-Q,200.0,4.484,356.1429
SISI,2025-08-20,split/reverse,45.03,1300734,20.746,1,10-Q,150.0,0.5393,2.3311
SBET,2025-05-23,split/reverse,0.7,1981535,0.66,1,10-Q,0.66,0.0576,0.0576
HUSA,2025-06-23,split/reverse,1.74,1156041,15.687,1,10-Q,20.0,8.0152,10.4943
BGLC,2025-07-01,split/reverse,1.8,1737523,1.797,1,10-Q,300.0,0.0019,165.6667
MCRB,2025-06-30,split/reverse,8.65,1609809,8.732,1,10-Q,8.65,0.0095,0.0
GCTK,2025-06-25,split/reverse,0.57,1506983,28.643,1,10-Q,0.792,49.2505,0.3888
AKA,2025-05-14,split/reverse,10.69,1865107,10.715,1,10-Q,500.0,0.0023,45.7727
ATNF,2025-07-29,split/reverse,6.04,1690080,6.039,1,10-Q,100.0,0.0001,15.5563
ACFN,2025-07-28,split/reverse,2.49,880984,2.491,1,10-Q,42.0,0.0005,15.8675
GCTK,2025-07-21,split/reverse,0.57,1506983,28.643,1,10-Q,0.792,49.2505,0.3888
SRFM,2025-07-08,split/reverse,33.71,1936224,19.284,1,10-Q,17.198,0.428,0.4898
FET,2025-08-08,split/reverse,11.9,1401257,11.903,1,10-Q,,0.0003,
