ticker,float_M,os_M
AACG,15.04,43.03
AAGR,13.18,57.87
AAIC,26.89,28.32
AAMC,0.9,2.55
AAME,4.02,20.4
AAN,29.27,30.71
AAOI,77.1,80.24
AATC,4.09,5.41
AAU,137.36,137.36
ABAT,133.81,136.41
ABEO,54.77,57
ABL,33.96,97.75
ABLV,22.37,49.39
ABOS,56.5,72.23
ABP,4.92,5.9
ABSI,144.61,155.91
ABST,39.58,52.74
ABTC,327.18,1063.01
ABTS,3.04245,3.16
ABUS,155.65,197.54
ABVC,23.24,26
ABVE,14.84,28.53
ABVX,70.89,79.69
ACB,56.55,56.58
ACCD,70.58,81.59
ACCL,2.89,13.9
ACCS,2.21,3.88
ACER,21.03,24.46
ACET,9.32,9.35
ACGN,3.59,8.42
ACHL,27.84,41.1
ACHR,664.75,760.82699
ACHV,99.63,102.66
ACIC,24.33,48.46
ACIU,70.56,112.64
ACLX,53.54,60.39
ACNT,6.57,9.04
ACOG,20.7,21.77
ACON,2.46,2.46
ACOR,1.24,1.24
ACR,3.54,7.13
ACRS,122.36,139.66
ACRV,25.27,42.8
ACTG,33.89,96.59
ACTU,10.35,23.93
ACU,3.34,3.81
ACXP,4.17,4.3
ADAG,67.336,77.896
ADAP,246.7,265
ADCT,90.6,127.19
ADGM,7.16,25.17
ADIL,2.14,2.14
ADMA,223.77,231.77
ADMS,41.17,45.79
ADN,3.36,3.79
ADSE,37.74,75
ADTH,51.96,91.96
ADTX,0.82,0.82
ADUR,21.65,45.88
ADVB,1.34,1.38
ADVM,19.55,22.08
ADXN,1.05,1.27
ADXS,42.57,42.63
AE,2.51,2.58
AEBI,37.2,77.51
AEHL,2.17,16.73
AEHR,28.81,30.63
AEI,3.7,38.9
AEMD,1.55,1.57
AENT,11.66,50.97
AENZ,6.6,91.46
AEON,20.6,40.99
AERI,43.27,49.42
AERT,15.44,50.21
AEVA,48.30438,67.53438
AEY,1.19,1.49
AEYE,7.51,12.44
AFCG,17.7,23.53
AFIB,23.99,29.91
AFMD,15.73,16.39
AFRI,5.49,26.92
AGCC,10.6,37.29
AGEN,41.12,41.64
AGFS,31.93,53.72
AGIG,13.14,44.02
AGIL,32.13,52.4
AGMH,1.94,3.23
AGPU,25.1,25.1
AGRX,6.86,6.9
AGRZ,11.88,21.92
AGS,39.18,41.51
AGTC,67.5,67.63
AHG,549.2,551.86
AHI,5.87514,7.78
AHMA,4.19,29.73
AHPI,3.24,4.01
AHT,6.37,6.48
AIAI,9,77.914
AIB,4.4,37.63
AIDX,9.44,10.61
AIEV,63.28,102.6
AIFA,17.53,38.27
AIFC,122.33,222.61
AIFF,12.82,21.71
AIFU,122.91,128.51
AIH,6.09,47.79
AIHS,5.45,15.46
AIIO,17.62,19.61
AIIR,25.03,160.31
AILE,53.31,141.17
AIM,24.79935,24.88935
AIMD,5.75,8.52
AINC,0.67,1.65
AIOS,0.195,3.2495
AIOT,127.34,134.15
AIP,34.24,46.17
AIRE,4.0088,5.3648
AIRG,12,12.68
AIRI,3.52,4.85
AIRJ,33.14854,72.12854
AIRO,11.55,31.45
AIRS,25.16,70.55
AIRT,1.89,2.7
AISP,22.97,34.44
AIU,30.79,30.79
AIXC,20.23,20.23
AIXI,1.22,1.31
AKA,0.95,10.82
AKAN,0.53333,0.53333
AKBA,247.79,268.26
AKLI,73.87,78.72
AKRO,79.85,82.32
AKTX,0.78,2.61059
AKU,41.95,91
AKUS,36.53,36.95
AKYA,28.42,49.88
ALAR,7.06,7.26
ALBT,11.37,12.05
ALCE,0.39,600.72
ALCO,5.38,7.42
ALDX,58.59,60.32
ALEC,104.98,111.03
ALF_1833908_Delisted,,
ALGS,3.33,6.19
ALIM,21.96,54.38
ALJJ,18.55,38.66
ALLG,56.49,273.34
ALLK,79.59,90.38
ALLO,291.13,345.15
ALLR,15.91,15.91
ALLT,33.54,48.65
ALMS,88.92,123.43
ALMU,15.83,18.31
ALNA,120.97,122.08
ALO,,
ALOT,6.36,7.69
ALOY,7.8627,59.81
ALP,19.01,24.08
ALPN,46.31,68.6
ALPP,23.49,27.06
ALPS,49.94,166.47
ALR,19.69,32.61
ALSK,,
ALT,204.58,205.07
ALTG,26.14,32.54
ALTI,45.41,151.62
ALTO,73.65,77.49
ALUR,12.61,16.41
ALXO,134.26,149.77
ALYA,39.61,99.36
ALZN,3.78,3.8
AMAM,61.78,62
AMBI,1.94,55.43
AMBO,1.43,2.86
AMBR,11.74,93.84
AMC,669.59,671.59
AMCI,4.45,22.6
AMIX,11.05,11.41
AMLI,210.89,217.56
AMLX,102.99,111.19
AMOD,18.73,160.11
AMPE,1.12,1.14
AMPG,22.36,25.34
AMPX,133.56,141.63
AMPY,40.39,41.29
AMRB,,
AMRN,20.75,20.97
AMRS,265.28,369
AMS,4.15,6.63
AMSC,45.96,47.69
AMSS,4.62,11.37
AMST,4.6,5.85
AMTD,47.5,95.71
AMTI,32.55,41.34
AMTX,66.05,70.37
AMWL,12.79,16.71
AMZE,57.6,58.79
ANEB,18.69,40.78
