ticker,as_of,float_M,os_M,confidence,basis,computed_at,note
ACAD,2025-05-16,122.6,167.1,high,10-Q cover / DEF 14A,2026-06-24T18:27:23,"Current O/S 167.1M (10-Q 2025-05-07). D&O group 44.5M (26.5%, incl Baker Bros co"
ACHR,2025-05-13,506.74,548.88,high,10-Q 2025-05-12 + DEF14A 2025-04-30,2026-06-24T18:27:23,Class A O/S 548.88M (10-Q 5/12); excl D&O group 42.14M (ex-options); kept Stellantis 73.2M strategic 13% (<20%). Float >>20M.
ACOG,2025-05-16,15.10,16.02,high,10-Q 2025-05-15 + DEF14A 2025-04-30,2026-06-24T18:27:23,"Common O/S 16.02M (10-Q 5/15); excl D&O pure-common ~0.92M (dedup Mertz Holdings, ex-options); kept all 5% holders passive funds; common shares traded (not ADS). Under 20M."
ADPT,2025-05-02,138.0,147.8,high,10-Q cover / DEF 14A,2026-06-24T18:27:23,"Current O/S 147.8M (10-Q 2025-05-01). All 5% holders (Viking 19.7%, Rubric, Blac"
ADUR,2025-05-08,18.18,29.29,med,6-K 2025-04-14 fin exh + 424B4 2024-11-08 ownership,2026-06-24T18:27:23,"Current common O/S 29.29M (6-K period 2/28/25); excl D&O group pure-common 11.11M (Vicus 9.66M founder/CEO 35% + 5 insiders, ex-options/warrants); Canadian co, common shares (not ADS). Fresh IPO Nov-2024. Under 20M but near cutoff."
AEVA,2025-05-06,23.4,54.99,medium,DEF 14A cover,2026-06-24T18:27:23,"O/S 54,992,711. D&O group 15,376,210 (27.2%, incl founders Salehian 8.6% + Rezk "
AGFY,2025-05-02,1.24,1.95,high,DEF 14A cover,2026-06-24T18:27:23,"O/S only 1,952,014 common. Green Thumb Industries 49.99% beneficial is almost al"
AISP,2025-05-19,19.91,31.84,med,10-Q 2025-05-15 + DEF14A 2024-11-12 (ownership img tables),2026-06-24T18:27:23,"Common O/S 31.84M (10-Q 5/15, de-SPAC); excl founders pure-shares: Huang Kirkland LP 3.38M + Xu Redmond LP 8.44M + minor dirs 0.11M = 11.93M (ex-options/warrants/SARs); KEPT Armistice 2.88M (passive 13G, 17.6%). Float ~19.9M, just under 20M."
AKA,2025-05-14,0.74,10.69,high,10-Q 2025-05-13 + DEF14A 2025-04-24,2026-06-24T18:27:23,"Common O/S 10.69M (10-Q 5/13, post 1-for-12 reverse split); excl New Excelerate/Summit PE 6.05M (56.6%) + Beard founder entities 2.02M (18.9%) + D&O group 1.88M (incl Bryett Trust 1.72M founder/director); float ~0.74M, heavily controlled. Under 20M."
ALLT,2025-05-12,30.30,39.69,high,20-F 2025-03-27 (Item 6/7) + 6-K 2025-05-12,2026-06-24T18:27:23,"Ordinary O/S 39.69M (20-F, Israeli co trades ordinary directly NOT ADS); excl D&O group 9.40M which incl director Cynthia Paul/Lynrock Lake 8.79M (board seat=control); KEPT QVT 3.56M (9%) + Kanen 4.25M (10.8%) passive. Float ~30.3M >>20M."
ALTS,2025-05-23,15.4,16.08,medium,10-Q balance sheet,2026-06-24T18:27:23,"ALT5 Sigma. Current common O/S 16,078,647 (10-Q balance sheet 2025-03-29; wtd-av"
ALZN,2025-05-13,6.4,6.6,high,DEF 14A cover / 10-Q,2026-06-24T18:27:23,"Alzamend Neuro. Common O/S 6,597,507 (proxy record date; 5.80M at 10-Q). Ault/Hy"
ANGI,2025-05-07,47.11,47.95,high,DEF14A 2025-04-30 + 10-Q 2025-05-06,2026-06-24T18:27:23,"Class A O/S 47.95M (post IAC spin-off + reverse split; no Class B left); excl D&O group 0.84M (1.7%); Barry Diller 7% (<20%, not Angi director) kept; passive funds kept. Float ~47.1M >>20M. (No DT anchor.)"
ARAI,2025-05-28,4.86,29.98,high,424B4 direct-listing cover,2026-06-24T18:27:23,"Arrive AI direct listing on Nasdaq; 424B4 (5/15) registers 29,978,212 = 100% of "
AREN,2025-05-19,9.61,47.56,medium,DEF14A + 10-Q current O/S,2026-06-24T18:27:23,"Arena Group. Current O/S 47,560,952 from 10-Q filed 5/15. Exclude Simplify Inven"
ARKR,2025-05-05,2.36,3.6,high,DEF14A cover (10-Q matches),2026-06-24T18:27:23,"Ark Restaurants. O/S 3,604,157 (proxy and 10-Q agree). D&O group 1,309,569 incl "
ARQQ,2025-05-16,6.53,12.75,med,20-F 2024-12-05 (Item 7) + 13D/A 2025-02-10 O/S,2026-06-24T18:27:23,"Ordinary O/S 12.75M (13D/A Jan-27-2025; trades ORDINARY directly NOT ADS - false ADS flag; post 1-for-25 reverse split); excl D&O group 6.22M incl director Manfredi/Heritage 5.79M (40% control); founders Williams/Bestwick fell <5% (kept, dispersed). Float ~6.5M under 20M."
ARRY,2025-05-13,151.8,152.5,high,DEF14A cover,2026-06-24T18:27:23,"Array Technologies. O/S 152,512,805 (Mar 31 2025). D&O group only 688,209 (<1%)."
ASMB,2025-05-02,5.02,7.64,high,DEF14A 2025-04-23 + 10-K 2025-03-20,2026-06-24T18:27:23,"Common O/S 7.64M (proxy Apr-8-2025, post 1-for-12 reverse split); excl Gilead 2.21M (28.9%, control - 2 board designees) + D&O group 0.41M; KEPT Schornstein 0.73M (9.5% passive 13G). Float ~5.0M under 20M. DT os 20.7M is later 2026 dilution (>2x gap explained)."
ASPI,2025-05-19,57.4,72.07,high,10-K cover current O/S,2026-06-24T18:27:23,"ASP Isotopes. Proxy O/S (68.4M, Sep 2024) is stale; current O/S 72,068,059 from "
ASST,2025-05-08,12.90,13.41,high,10-K 2025-03-31,2026-06-24T18:27:23,"Class B (traded class) O/S 13,413,162 as of 2025-03-25; excluded D&O-group Class B 510,689 (incl AEH control holdco 250k Class B); Class A 1.0M super-voting all held by AEH excluded from traded-class float; DT 78.78M reflects later heavy dilution."
AVAH,2025-05-08,50.8,195.09,high,DEF14A + 10-Q current O/S,2026-06-24T18:27:23,"Aveanna Healthcare. O/S 195,093,866 (10-Q same day). Exclude PE sponsors Bain Ca"
BBAI,2025-05-27,287.0,291.19,high,DEF14A cover,2026-06-24T18:27:23,"BigBear.ai. O/S 291,188,805 (Apr 28 2025 proxy; 10-Q ~289M). Sponsor AE Industri"
BCRX,2025-05-05,198.0,209.21,high,DEF14A cover,2026-06-24T18:27:23,"BioCryst Pharmaceuticals. O/S 209,207,928 (Apr 14 2025). All 5% holders passive "
BIYA,2025-05-07,2.50,12.50,high,424B4 2025-03-24 IPO,2026-06-24T18:27:23,"Fresh China (Cayman) IPO closed 2025-03-24: 2,500,000 ordinary offered at $4.00; post-IPO O/S 12,500,000; float=public offering 2.5M; pre-IPO 10M held by founder Daoning Xia (58.7%) + officers + BVI 'International Group Ltd' SPV ladder, all excluded; DT os 15.11M is post-as_of dilution."
BKKT,2025-05-13,5.77,6.73,med,10-Q 2025-05-12 cover + DEF14A 2025-04-28,2026-06-24T18:27:23,"Up-C de-SPAC; traded Class A O/S 6,734,323 as of 2025-05-09; excluded D&O-group Class A 311,473 and ICE control-affiliate Class A 649,934 (ICE holds 94.78% paired Class V + voting agmt, 54.4% vote); Highbridge 692k is warrant-exercisable not outstanding Class A so not subtracted; Class V 7.18M is separate non-traded class; DT 47.87M reflects later massive crypto-treasury dilution."
BMBL,2025-05-08,73.98,105.55,high,10-K 2025-02-28 cover + DEF14A 2025-04-17,2026-06-24T18:27:23,"Up-C; traded Class A O/S 105,545,584 (as of 2025-01-31); excluded Stockholders-Agreement control group Class A 31,042,819 (Blackstone 30.12M w/ board seats + founder Wolfe Herd 0.93M) and remaining D&O Class A 0.518M; kept passive Vanguard 10.2M, BlackRock 9.9M, Ameriprise 6.4M (13G); Common Units exchangeable into Class A are NOT in the 105.5M and not subtracted."
BMGL,2025-05-14,6.05,18.79,med,424B4 2025-02-25 IPO,2026-06-24T18:27:23,"Basel Medical (BVI) fresh IPO Feb-2025; post-IPO O/S 18,785,750 (incl 330,750 over-allotment, matches DT); excluded control affiliate Rainforest Capital VCC 10,174,579 (55.1%, AIP/Mengli Chen) + D&O group 29,412 + 3 >5% holders Meng/Yip/Tan 2,534,090 sharing the controller's Singapore address (Yip also related-party lessor); ~3.5M unnamed pre-IPO holders + 2.5M public offering left as float; DT float 8.58M = O/S minus Rainforest only (treats the 3 as independent) - alt read."
BNGO,2025-05-14,3.362,3.364,high,10-Q 2025-05-14 cover (current O/S); DEF 14A 2025-04-28 table,2026-06-24T18:27:23,"Bionano Genomics, post reverse-split nano-cap. Current 10-Q O/S=1,865,400. D&O g  || QC 2026-06-26: 10-Q cover 'As of May 7, 2025, 3,364,000 shares' (prior os 1.865M wrong). No control holder; CVI Investments passive 13G (5/12) kept; D&O ~0.002M. Float 3.362."
BOSC,2025-05-29,5.70,5.92,high,20-F 2025-03-31,2026-06-24T18:27:23,"Israeli 20-F filer trading ordinary shares directly (ADS flag is FALSE POSITIVE, no division); O/S 5,923,559 as of 2025-03-15; excluded D&O group (6 persons) shares+options ~227,708; KEPT Todd Felte 458,118 (8.0%, passive 13G/A); no offering in filings <= as_of; DT os 7.05M reflects later-2025 raise."
BSGM,2025-05-23,20.9,24.2525,medium,10-K 2025-04-15 ownership (as of Apr 14 2025); 10-Q 2025-05-19 cover O/S 24.248M,2026-06-24T18:27:23,"BioSig Technologies, recapitalized to BTC-treasury; O/S grew 17.1M->24.25M. Excl"
BUJA,2025-05-05,2.93,4.94,high,10-K 2025-04-15,2026-06-24T18:27:23,"SPAC (Bukit Jalil Global Acq 1); O/S 4,941,322 as of 2025-04-11 = 2,011,807 non-redeemable (sponsor 1,861,807 + D&O 23,000 + private) + 2,929,515 public shares subject to redemption; SPAC float = public redeemable shares 2,929,515; sponsor (Chyi Chyi Ooi) & D&O excluded; pending business combination (425s) not yet closed."
CFSB,2025-05-20,2.64,6.548575,high,10-Q 2025-05-14 cover (O/S 6.549M); DEF 14A 2024-10-15 table,2026-06-24T18:27:23,"CFSB Bancorp MHC structure. Current O/S=6,548,575. Exclude 15 Beach, MHC 3,586,9"
CINT,2025-05-14,21.63,22.50,med,20-F 2025-03-28 + Q1 6-K 2025-05-13,2026-06-24T18:27:23,"CI&T Brazil dual-class; CINT trades Class A common shares DIRECTLY on NYSE (ADS flag FALSE POSITIVE, no division); Class A outstanding 22,498,572 (20-F report date; Q1 buyback of 1.08M into treasury nets it toward ~22.04M, float then ~21.2M); excluded insiders Gon 66,392 + Martins 82,196 + Guicardi 85,775 + other O&D 75,282 + Advent control 556,699 (=866,344 Class A); KEPT passive T.Rowe 3.86M, BW Gestao 2.60M, WCM 1.45M, Brasil Capital 1.15M; Class B 112M non-traded super-voting; float ~21.6M just above 20M."
CLGN,2025-05-29,11.04,11.45,med,20-F 2025-03-26,2026-06-24T18:27:23,"CollPlant (Israel) trades ordinary shares directly on Nasdaq (ADSs cancelled 1-for-1, ADS flag FALSE POSITIVE, no division); O/S 11,454,512 as of 2025-03-15; excluded D&O group ex-options actual shares 410,566 (Evans 377,429 + Tal 31,137 + Bensimon 2,000; rest hold only options); KEPT Ami Sagy 1,943,184 (17%, individual, no board seat/13D, below 20%) and Loewenbaum 1,449,079 (12.7% passive 13G); DT os 14.42M reflects later F-3/S-8 dilution. Alt: if Sagy excluded as affiliate, float ~9.1M (still <20M)."
CMCL,2025-05-19,16.59,19.29,med,20-F 2025-05-16 acc=0001171843-25-003266 Item6/7,2026-06-24T18:27:23,"O/S 19.29M (19,294,784) per 20-F Item7 geographic register; excluded D&O group 2.70M (14.0%, includes director Gapare's Toziyana 2.41M block); kept Shining Capital 9.97% and Allan Gray 5.72% (both <20%, non-control); trades ordinary on NYSE American, no ADS division."
CMCT,2025-05-02,0.70,0.75,med,10-K/A 2025-04-29 acc=0000908311-25-000030 cover+PartIII,2026-06-24T18:27:23,"O/S 754,607 (0.75M) common per 10-K/A cover as of Apr 14 2025, post SERIAL reverse splits (1:10 Jan 6 2025 + 1:25 Apr 15 2025); excluded D&O group 51,388 (6.8%, incl all CIM founder/affiliate common blocks Ressler/Shemesh/Kuba); no external >20% holder. DT 2.64M is stale/pre-April-split."
CNCK,2025-05-22,6.70,129.70,med,20-F 2024-12-16 acc=0001213900-24-109398 ownership; XBRL 3/31/25 130.8M,2026-06-24T18:27:23,"O/S 129,703,076 ordinary per 20-F (only O/S filing <=as_of; XBRL shows 130.8M at 3/31/25); de-SPAC (Coincheck/Thunder Bridge IV); excluded Monex Group parent 109.10M (84.1%), co-founder Koichiro Wada 9.70M (7.5%), D&O group/Simanson-TBCP 4.20M; float clearly <20M. DT float 12.18 uses later O/S 135.17M."
CPS,2025-05-02,15.94,17.548147,high,10-Q 2025-05-02 cover; DEF 14A 2025-04-03 table,2026-06-24T18:27:23,"Cooper-Standard Holdings. Current O/S=17,548,147. Exclude D&O group 1,603,248 in"
CREV,2025-05-15,1.69,1.89,med,20-F 2025-05-14 acc=0001140361-25-018960 (FYE Jun30 2024) Item7,2026-06-24T18:27:23,"O/S 1,885,184 ordinary (20-F cover, June FY-end; OIC dilution is unexercised penny warrants 56% fully-diluted NOT in basic O/S); excluded D&O group 56,587 (3.0%) and Twin Ridge SPAC sponsor Daniel Hennessy 134,000 (7.1%); post-10:1 consolidation reflected; matches DT 1.67M."
CUPR,2025-05-02,3.00,6.92,med,424B4 2025-04-10 acc=0001641172-25-003511 + 6-K close 4/11 acc=0001641172-25-003758,2026-06-24T18:27:23,"Fresh dual-class IPO (priced 4/10, closed 4/11 2025); ticker=Class A; Class A O/S 6,915,000 (3.915M pre-IPO + 3.0M IPO, no greenshoe exercised); float = 3.0M public IPO offering (D&O+Cuprina Holding SPV hold only Class B 14.085M; pre-IPO 3.915M Class A are locked-up early investors, excluded). DT 2.68/0.92 divergent."
CURI,2025-05-07,30.5,56.93,high,DEF 14A cover + 10-Q,2026-06-24T18:27:23,"CuriosityStream NORMAL single-class. O/S=56,930,262 (DEF 14A + 10-Q 2025-05-06)."
DBRG,2025-05-15,,176.12,high,10-Q 2025-05-01 acc=0001679688-25-000043 cover + DEF14A 2025-04-17,2026-06-24T18:27:23,"Class A (ticker) O/S 176,116,333 per 10-Q cover; widely-held large-cap, D&O group only 6.37M (3.38%); 5% holders Vanguard 9.7%/Wafra 9.7%/BlackRock 6.9% all passive 13G <20% kept; no control block; float ~169.7M, far over 20M."
DDC,2025-05-29,3.71,4.65,med,6-K 2025-05-16 acc=0001213900-25-044621 (current O/S post-split) + 20-F 2025-05-15 ownership,2026-06-24T18:27:23,"Class A Ordinary (ticker, trades direct on NYSE-American, NO ADS-false flag) O/S 4,645,749 post 1-for-25 reverse split (incl 1.47M pending NYSE-A issuance); excluded founder/CEO/Chair Norma Ka Yin Chu, her 23,309,275 pre-split Class A scaled /25 = 932,371; no other holder. DT 34.35/24.11 is post-May BTC-treasury dilution, divergent."
DOMO,2025-05-22,34.08,36.94,high,DEF 14A 2025-05-13 acc=0001505952-25-000062 cover+ownership (record date May 1 2025),2026-06-24T18:27:23,"Ticker=Class B; Class B O/S 36,940,668 (Class A 3.26M super-voting is separate class held by founder, not in Class B O/S); excluded D&O group Class B 2,864,083 (7.7%, incl founder J.James Class B); kept all 5% holders BlackRock/Vanguard/Ameriprise/RPD-Okumus (passive 13G, <20%); float 34.08M >20M."
EBS,2025-05-08,53.7,54.278,high,10-Q cover + DEF 14A,2026-06-24T18:27:23,"Emergent BioSolutions NORMAL single-class. O/S=54,277,827 (10-Q 2025-05-07). D&O"
EDBL,2025-05-21,1.62,1.66,low,10-Q 2025-05-15 acc=0001477932-25-003815 cover (O/S as of May 5),2026-06-24T18:27:23,"Serial-diluter nano-cap; O/S 1,655,264 common per 10-Q cover (as of May 5 2025, post reverse splits); 5/21 8-K '1,999,200' and 5/14 events are warrants-to-purchase/Series B preferred NOT issued common; insiders negligible (D&O group ~39,074, <1%, stale Dec24 proxy); Armistice/Riverside capped at 9.99% blockers (kept passive). DT 8.77/8.6 is much-later post-dilution."
EHTH,2025-05-07,28.7,30.327,high,DEF 14A ownership table (common),2026-06-24T18:27:23,"eHealth. Traded class = common O/S=30,326,646 (record date Apr 21 2025; proxy fi"
ELAN,2025-05-07,492.1,496.458,high,10-Q cover,2026-06-24T18:27:23,"Elanco Animal Health large-cap single-class. O/S=496,458,420 (10-Q 2025-05-07). "
ELPW,2025-05-08,14.50,44.28,med,20-F 2024-11-27 acc=0001493152-24-048069 ownership + Feb-2025 13Gs (confirm 50.06M total unchanged),2026-06-24T18:27:23,"Fresh China de-SPAC (TMT/Elong, closed 11/21/24); ticker=Class A; Class A O/S 44,278,677 (total ordinary 50.06M incl 5.78M Class B held by founder Liu/GRACEDAN); excluded 5 pre-IPO PRC rollover SPVs (Zibo 8.03M/Shenzhen Jinpenglong 6.70M/Xingzheng 6.62M/Jiupaiyuanjiang 4.72M/Pingtan 3.71M = 29.78M); D&O/Liu are Class B only. DT 6.04 is a data error."
ELSE,2025-05-13,1.66,3.449,high,10-Q cover + DEF 14A,2026-06-24T18:27:23,"Electro-Sensors tiny single-class. O/S=3,449,021 (10-Q 2025-05-12). Peterson fam"
EOSE,2025-05-07,218.8,227.05,high,10-Q cover + DEF 14A,2026-06-24T18:27:23,"Eos Energy large-cap. O/S=227,049,683 (10-Q 2025-05-06). D&O group 8,250,357 (3."
EPWK,2025-05-06,3.16,18.76,high,424B4 IPO Feb2025 + 6-K over-allot,2026-06-24T18:27:23,Fresh China IPO Class A; offering 2.75M + full over-allotment 0.4125M (closed Feb21-2025) = 3.16M public float; post-IPO ClassA O/S 18.76M; ClassB 3.56M founder Huang (76.8% vote) excluded; 2.5M resale shares still in 180d lockup at as_of; DT float 3.39M matches
ETNB,2025-05-20,142.07,145.98,high,DEF 14A cover / 10-Q,2026-06-24T18:27:23,"O/S 145,984,182 (DEF 14A 2025-04-15 cover and 10-Q 2025-05-02 agree). Excluded D"
EVTL,2025-05-27,17.46,84.60,med,20-F 2025-03-11 + 424B3 2025-05-16,2026-06-24T18:27:23,"UK eVTOL de-SPAC; O/S 84.60M (Mar31-2025); excl Mudrick control 51.51M ord (has board-nom rights, 73.8% benef; converts/warrants not counted), founder Fitzpatrick/SF 15.49M ord, D&O group ex-options 0.14M = 67.14M; KEEP Saba Capital 8.33M (passive 13G); DT 2026 O/S 127M reflects later convert/ATM dilution"
