ticker,as_of,float_M,os_M,under_20M,confidence,basis,note
ACAD,2025-05-16,122.6,167.1,false,high,10-Q cover / DEF 14A,"Current O/S 167.1M (10-Q 2025-05-07). D&O group 44.5M (26.5%, incl Baker Bros co"
ACHR,2025-05-13,506.74,548.88,false,high,10-Q 2025-05-12 + DEF14A 2025-04-30,Class A O/S 548.88M (10-Q 5/12); excl D&O group 42.14M (ex-options); kept Stellantis 73.2M strategic 13% (<20%). Float >>20M.
ACOG,2025-05-16,15.10,16.02,true,high,10-Q 2025-05-15 + DEF14A 2025-04-30,"Common O/S 16.02M (10-Q 5/15); excl D&O pure-common ~0.92M (dedup Mertz Holdings, ex-options); kept all 5% holders passive funds; common shares traded (not ADS). Under 20M."
ADPT,2025-05-02,138.0,147.8,false,high,10-Q cover / DEF 14A,"Current O/S 147.8M (10-Q 2025-05-01). All 5% holders (Viking 19.7%, Rubric, Blac"
ADUR,2025-05-08,18.18,29.29,true,med,6-K 2025-04-14 fin exh + 424B4 2024-11-08 ownership,"Current common O/S 29.29M (6-K period 2/28/25); excl D&O group pure-common 11.11M (Vicus 9.66M founder/CEO 35% + 5 insiders, ex-options/warrants); Canadian co, common shares (not ADS). Fresh IPO Nov-2024. Under 20M but near cutoff."
AEVA,2025-05-06,23.4,54.99,false,medium,DEF 14A cover,"O/S 54,992,711. D&O group 15,376,210 (27.2%, incl founders Salehian 8.6% + Rezk "
AGFY,2025-05-02,1.24,1.95,true,high,DEF 14A cover,"O/S only 1,952,014 common. Green Thumb Industries 49.99% beneficial is almost al"
AISP,2025-05-19,19.91,31.84,true,med,10-Q 2025-05-15 + DEF14A 2024-11-12 (ownership img tables),"Common O/S 31.84M (10-Q 5/15, de-SPAC); excl founders pure-shares: Huang Kirkland LP 3.38M + Xu Redmond LP 8.44M + minor dirs 0.11M = 11.93M (ex-options/warrants/SARs); KEPT Armistice 2.88M (passive 13G, 17.6%). Float ~19.9M, just under 20M."
AKA,2025-05-14,0.74,10.69,true,high,10-Q 2025-05-13 + DEF14A 2025-04-24,"Common O/S 10.69M (10-Q 5/13, post 1-for-12 reverse split); excl New Excelerate/Summit PE 6.05M (56.6%) + Beard founder entities 2.02M (18.9%) + D&O group 1.88M (incl Bryett Trust 1.72M founder/director); float ~0.74M, heavily controlled. Under 20M."
ALLT,2025-05-12,30.30,39.69,false,high,20-F 2025-03-27 (Item 6/7) + 6-K 2025-05-12,"Ordinary O/S 39.69M (20-F, Israeli co trades ordinary directly NOT ADS); excl D&O group 9.40M which incl director Cynthia Paul/Lynrock Lake 8.79M (board seat=control); KEPT QVT 3.56M (9%) + Kanen 4.25M (10.8%) passive. Float ~30.3M >>20M."
